id,path,depth,numchild,title,slug,live,has_unpublished_changes,url_path,seo_title,show_in_menus,search_description,go_live_at,expire_at,expired,content_type_id,owner_id,locked,latest_revision_created_at,first_published_at,live_revision_id,last_published_at,draft_title,locked_at,locked_by_id,locale_id,translation_key,alias_of_id,latest_revision_id
1,0001,1,2,Root,root,1,0,/,,0,,,,0,1,,0,,,,,Root,,,1,f9dd6a0c82694118b6073ec958973f80,,
3,00010001,2,1,Home Page,homepage,1,0,/homepage/,,0,,,,0,28,,0,2024-11-11 02:11:00.024919,2024-11-11 02:04:20.636657,10,2024-11-11 02:11:00.102380,Home Page,,,1,f7f940205dd248c1a4f61cf6091442fa,,10
60,000100010002,3,6,Poposals,proposals,1,0,/homepage/proposals/,,0,,,,0,101,3,0,2024-11-17 08:31:10.556627,2024-11-17 01:18:26.308052,98,2024-11-17 08:31:11.078125,Poposals,,,1,d03e14cff01a45aa898993e5886e82a7,,98
82,0001000100020003,4,0,Trump transition live updates: Trump announces pick for energy secretary,trump-transition-live-updates-trump-announces-pick-for-energy-secretary,1,1,/homepage/proposals/trump-transition-live-updates-trump-announces-pick-for-energy-secretary/,,0,,,,0,100,,0,2024-11-17 09:25:36.787734,2024-11-17 09:03:36.640781,102,2024-11-17 09:03:36.640781,Trump transition live updates: Trump announces pick for energy secretary,,,1,c26a783a54e44fe385bfd21eb0575809,,111
83,0001000100020004,4,0,BYU’s undefeated dream crashes to Earth in stunning loss to Kansas,byus-undefeated-dream-crashes-to-earth-in-stunning-loss-to-kansas,1,1,/homepage/proposals/byus-undefeated-dream-crashes-to-earth-in-stunning-loss-to-kansas/,,0,,,,0,100,,0,2024-11-17 09:17:33.653436,2024-11-17 09:10:17.260974,105,2024-11-17 09:10:17.260974,BYU’s undefeated dream crashes to Earth in stunning loss to Kansas,,,1,5233ba64cff94c2e89e6189ff5739295,,108
84,0001000100020005,4,0,"Israeli air strikes kill 12 in Gaza, three arrested over flares fired at Netanyahu’s home",israeli-air-strikes-kill-12-in-gaza-three-arrested-over-flares-fired-at-netanyahus-home,1,1,/homepage/proposals/israeli-air-strikes-kill-12-in-gaza-three-arrested-over-flares-fired-at-netanyahus-home/,,0,,,,0,100,,0,2024-11-17 09:17:19.400246,,,,"Israeli air strikes kill 12 in Gaza, three arrested over flares fired at Netanyahu’s home",,,1,f390dae9c2204e8882e952626ec6f108,,107
85,0001000100020006,4,0,"Israeli air strikes kill 12 in Gaza, three arrested over flares fired at Netanyahu’s home",israeli-air-strikes-kill-12-in-gaza-three-arrested-over-flares-fired-at-netanyahus-home-2,1,0,/homepage/proposals/israeli-air-strikes-kill-12-in-gaza-three-arrested-over-flares-fired-at-netanyahus-home-2/,,0,,,,0,100,,0,2024-11-17 09:19:35.027529,2024-11-17 09:19:35.391680,110,2024-11-17 09:19:35.391680,"Israeli air strikes kill 12 in Gaza, three arrested over flares fired at Netanyahu’s home",,,1,e1d035166578401babd9190455d9263b,,110
86,0001000100020007,4,0,Xi Tells Biden China Is Ready to Work With Incoming Administration,xi-tells-biden-china-is-ready-to-work-with-incoming-administration,0,1,/homepage/proposals/xi-tells-biden-china-is-ready-to-work-with-incoming-administration/,,0,,,,0,100,,0,2024-11-17 09:27:46.173227,2024-11-17 09:27:14.806037,,2024-11-17 09:27:14.806037,Xi Tells Biden China Is Ready to Work With Incoming Administration,,,1,7ccd09f9a3f44767a6a0f1013def13d3,,113
87,0001000100020008,4,0,Gov. Hochul signs fluoride legislation to improve dental health for children,gov-hochul-signs-fluoride-legislation-to-improve-dental-health-for-children,1,1,/homepage/proposals/gov-hochul-signs-fluoride-legislation-to-improve-dental-health-for-children/,,0,,,,0,100,,0,2024-11-17 09:38:59.508514,2024-11-17 09:32:46.881601,114,2024-11-17 09:32:46.881601,Gov. Hochul signs fluoride legislation to improve dental health for children,,,1,157bfc24c20a4939bb1e7cff98663b32,,116
88,00010002,2,1,صفحة رئيسية,homepage-1,1,0,/homepage-1/,,0,,,,0,28,,0,2024-11-17 10:00:11.782636,2024-11-17 09:51:02.870228,119,2024-11-17 10:00:12.036896,صفحة رئيسية,,,2,f7f940205dd248c1a4f61cf6091442fa,,119
89,000100020001,3,0,المقترحات ,المقترحات,1,0,/homepage-1/المقترحات/,,0,,,,0,101,3,0,2024-11-17 10:01:26.501994,2024-11-17 10:00:40.449614,122,2024-11-17 10:01:26.884066,المقترحات ,,,2,d03e14cff01a45aa898993e5886e82a7,,122
